gsis_id,sleeper_id,full_name,position,team,age,status,report_status,games,raw_ppg,proj_ppg,adj_ppg,final_ppg,adj_note,replacement_ppg,remaining,absence_now,base_miss_rate,most_common_injury,exp_games,availability,exp_ppg,vorp,value,opp,mu,share_now,share_prev,mate,mate_share,overall_rank,pos_rank
00-0039139,9221,Jahmyr Gibbs,RB,DET,24.5,ACT,,36,22.90604997080625,20.552146519188835,0.0,20.552146519188835,,8.793288323941487,15,0.0,0.134,,12.99,0.866,17.798158885617532,152.74756795626305,152.74756795626305,NYJ,100,0.39320611586861937,0.32853374306261157,Isiah Pacheco,0.23824814344090506,1,1
00-0036963,7547,Amon-Ra St. Brown,WR,DET,26.9,ACT,,35,22.25628281667195,20.081652689018146,0.0,20.081652689018146,,9.610690807104382,15,0.0,0.132,,13.02,0.868,17.43087453406775,136.3319237025172,136.3319237025172,NYJ,55,0.2140781657194002,0.17128256319260704,Jameson Williams,0.09018875096350129,2,1
00-0038542,9509,Bijan Robinson,RB,ATL,24.6,ACT,,36,21.151991377616934,19.08937782961216,0.0,19.08937782961216,,8.793288323941487,15,0.0,0.134,,12.99,0.866,16.53140120044413,133.74620267866206,133.74620267866206,GB,68,0.4448082174776564,0.3817139720584906,Brian Robinson,0.1232959723195369,3,2
00-0038543,9488,Jaxon Smith-Njigba,WR,SEA,24.5,ACT,,36,22.22916153344253,20.119521508753692,0.0,20.119521508753692,,9.610690807104382,15,0.0,0.16,,12.6,0.84,16.900398067353102,132.4112668407813,132.4112668407813,WAS,87,0.1855506578507981,0.16912612665339044,Cooper Kupp,0.09093079664608417,4,2
00-0033280,4034,Christian McCaffrey,RB,SF,30.2,ACT,,23,21.96815871205639,19.312677255537476,0.0,19.312677255537476,,8.793288323941487,15,0.0,0.163,Not injury related - resting player,12.555,0.837,16.164710862884867,132.07092803618764,132.07092803618764,ARI,84,0.31589412647999304,0.4078571467190481,Kaelon Black,0.18861607142857142,5,3
00-0036223,6813,Jonathan Taylor,RB,IND,27.6,ACT,,33,21.157543895040305,19.00843686371979,0.0,19.00843686371979,,8.793288323941487,15,0.0,0.145,Ankle,12.825,0.855,16.25221351848042,131.00928002265672,131.00928002265672,HOU,13,0.41470676320842803,0.3851517280012602,DJ Giddens,0.06656668113967021,6,4
00-0036900,7564,Ja'Marr Chase,WR,CIN,26.5,ACT,,35,20.426255680232043,18.55799725824491,0.0,18.55799725824491,,9.610690807104382,15,0.0,0.137,,12.945,0.863,16.015551633865357,115.82288201001414,115.82288201001414,PIT,58,0.1285483397698016,0.1938814962099509,Tee Higgins,0.12325172848620997,7,3
00-0039075,9493,Puka Nacua,WR,LA,25.3,ACT,Questionable,28,21.60968439190825,19.151965717728608,0.0,19.151965717728608,,9.610690807104382,15,0.38563049853372433,0.188,Knee,11.866868035190617,0.7911245356793745,15.151589985785343,113.22505025185284,113.22505025185284,DEN,16,0.22030271027752674,0.18617679908295068,Davante Adams,0.11555240550878007,8,4
00-0032764,3198,Derrick Henry,RB,BAL,32.7,ACT,,36,19.305760119331726,17.545950593053192,0.0,17.545950593053192,,8.793288323941487,15,0.0,0.139,,12.915,0.861,15.107063460618798,113.04063320557765,113.04063320557765,DAL,87,0.43038343102188054,0.3491122644587922,Justice Hill,0.07252108140726521,9,5
00-0034857,4984,Josh Allen,QB,BUF,30.3,ACT,,34,26.32679786449238,24.66404259013611,0.0,24.66404259013611,,16.926742034406544,15,0.0,0.071,,13.935,0.929,22.912895566236447,107.8192832440915,107.8192832440915,LAC,13,,,,,10,1
00-0037744,8130,Trey McBride,TE,ARI,26.8,ACT,,35,18.512320557608618,16.911309195131157,0.0,16.911309195131157,,9.037301203343462,15,0.0,0.154,Concussion,12.69,0.846,14.306967579080958,99.92116141578583,99.92116141578583,SF,58,0.2088833949322412,0.16729924737391544,Elijah Higgins,0.06619120515702309,11,1
00-0039040,9226,De'Von Achane,RB,MIA,24.9,ACT,,34,17.930610149950052,16.32280098244639,0.0,16.32280098244639,,8.793288323941487,15,0.0,0.134,,12.99,0.866,14.135545650798575,97.80836943397871,97.80836943397871,KC,26,0.39243663424697905,0.37735428965132306,Jaylen Wright,0.1142094017094017,12,6
00-0037248,8138,James Cook,RB,BUF,26.9,ACT,,34,17.712056843348744,16.145818784646703,0.0,16.145818784646703,,8.793288323941487,15,0.0,0.131,,13.035,0.869,14.030716523857985,95.8402345552925,95.8402345552925,LAC,0,0.33832273060924883,0.33872157376112416,Ty Johnson,0.1277196455505279,13,7
00-0031381,2133,Davante Adams,WR,LA,33.7,ACT,,30,18.654345124326024,16.8982058423379,0.0,16.8982058423379,,9.610690807104382,15,0.0,0.143,Hamstring,12.855,0.857,14.48176240688358,93.6810057779269,93.6810057779269,DEN,16,0.11555240550878007,0.1349009274320621,Puka Nacua,0.22030271027752674,14,5
00-0036358,6786,CeeDee Lamb,WR,DAL,27.4,ACT,,30,18.29122440842089,16.640523612964806,0.0,16.640523612964806,,9.610690807104382,15,0.0,0.156,Ankle,12.66,0.844,14.044601929342296,88.99768332219297,88.99768332219297,BAL,84,0.12203228869895535,0.13928081010217655,George Pickens,0.0966286799620133,15,6
00-0037239,8144,Chris Olave,WR,NO,26.2,ACT,Questionable,24,18.90401880807659,16.96578538634757,0.0,16.96578538634757,,9.610690807104382,15,0.38563049853372433,0.18,Concussion,11.983782991202348,0.7989188660801566,13.554286023020092,88.14185731741911,88.14185731741911,LV,35,0.18944039668083384,0.160467872674428,Devaughn Vele,0.10636683287192049,16,7
00-0038597,9224,Chase Brown,RB,CIN,26.4,ACT,,35,16.801902052528675,15.434342763677153,0.0,15.434342763677153,,8.793288323941487,15,0.0,0.131,,13.035,0.869,13.412443861635445,86.5661446219544,86.5661446219544,PIT,32,0.36669733717418007,0.3172051882221715,Samaje Perine,0.10710646044727144,17,8
00-0034844,4866,Saquon Barkley,RB,PHI,29.6,ACT,,33,16.126752481949083,14.68935827262257,0.0,14.68935827262257,,8.793288323941487,15,0.0,0.118,,13.23,0.882,12.956013996453107,78.00500542105073,78.00500542105073,CHI,42,0.30903782828224474,0.36319864661516904,Tank Bigsby,0.1454662314342948,18,9
00-0037840,8150,Kyren Williams,RB,LA,26.0,ACT,,35,15.77540687999227,14.589319569242624,0.0,14.589319569242624,,8.793288323941487,15,0.0,0.131,,13.035,0.869,12.67811870567184,75.55126728250032,75.55126728250032,DEN,19,0.2623982175080143,0.28614631835479715,Blake Corum,0.17212391903836674,19,10
00-0038134,8151,Kenneth Walker III,RB,KC,25.9,ACT,,30,15.688844212704797,14.429639909225216,0.0,14.429639909225216,,8.793288323941487,15,0.0,0.144,Ankle,12.84,0.856,12.351771762296785,72.37075435504308,72.37075435504308,MIA,97,0.4268367879997761,0.2842666512038956,Brashard Smith,0.11413383364602876,20,11
00-0040122,12527,Ashton Jeanty,RB,LV,22.7,ACT,,19,15.730348293624703,14.24679111754619,0.0,14.24679111754619,,8.793288323941487,15,0.0,0.162,,12.57,0.838,11.938810956503707,68.55053011561111,68.55053011561111,NO,48,0.4525193000514668,0.3838378478664739,Mike Washington Jr.,0.0867215645908389,21,12
00-0036275,6790,D'Andre Swift,RB,CHI,27.6,ACT,,35,14.960700830659608,13.907133132163246,0.0,13.907133132163246,,8.793288323941487,15,0.0,0.135,Groin,12.975,0.865,12.029670159321208,66.35213638667732,66.35213638667732,PHI,52,0.257382476293725,0.2636090754614214,Kyle Monangai,0.17822553884215392,22,13
